颈部前屈,颈部后仰,肩部上举范围,肩部前伸范围,肘部屈伸,手腕背伸,手腕桡偏/尺偏,背部屈曲范围,持续时间,重复频率,疲劳等级
46,49,3,88,70,49,11,38,3,37,1
0,3,153,91,148,53,9,45,1,206,2
11,40,130,82,112,57,20,55,1,264,2
25,12,6,92,127,14,28,58,4,47,2
43,40,180,24,129,15,1,0,1,200,2
31,29,179,100,99,0,1,35,1,191,2
5,33,122,56,55,39,1,29,2,141,2
44,21,105,85,38,25,0,10,1,284,2
46,54,38,87,91,52,10,25,2,166,2
34,77,59,120,98,29,22,52,9,31,2
60,52,108,84,103,11,18,2,1,192,2
32,65,60,118,141,34,26,10,1,133,2
41,38,78,107,136,50,24,31,27,5,2
58,42,3,54,26,56,19,7,39,7,2
45,54,34,84,100,49,10,51,1,263,2
11,0,139,70,68,10,0,26,1,271,2
2,87,59,60,61,60,13,38,1,255,2
11,36,36,51,22,14,27,56,1,258,2
7,80,46,55,13,45,14,59,8,37,2
10,12,3,62,31,7,22,13,2,137,2
44,32,94,42,180,23,24,57,1,75,1
34,43,165,53,4,38,0,25,1,202,2
28,41,168,21,89,22,4,3,2,133,2
52,75,17,0,174,59,3,49,1,214,2
41,20,106,0,8,30,17,56,1,263,2
0,68,153,45,35,9,9,50,1,293,2
40,32,21,4,139,37,21,40,1,290,2
44,76,65,71,137,14,8,57,1,229,2
57,90,107,24,0,39,23,4,1,295,2
8,36,27,120,22,25,7,38,2,100,2
24,2,33,24,43,2,23,12,1,233,2
5,0,39,74,149,41,29,42,4,51,2
39,46,21,84,33,39,13,17,1,243,2
23,86,75,99,14,28,14,28,1,240,2
39,13,85,72,163,18,25,0,1,274,2
28,44,79,96,153,39,20,7,1,266,2
55,81,158,99,149,56,5,35,3,63,2
35,36,148,25,35,49,2,45,1,287,2
16,90,151,9,147,53,12,52,2,134,2
30,66,87,8,142,32,11,2,1,180,2
0,12,15,23,179,55,17,52,2,79,2
55,87,103,0,68,50,8,15,1,282,2
41,79,109,80,111,0,7,15,1,154,2
0,73,21,27,14,12,17,29,2,115,2
0,90,63,37,60,5,27,34,2,89,2
0,87,151,48,93,31,27,36,1,285,2
40,43,94,25,150,2,2,21,1,110,1
13,81,47,50,16,37,11,29,2,84,2
26,66,150,112,155,0,16,14,1,286,2
12,20,50,85,85,55,17,15,1,279,2
8,64,19,77,54,51,30,37,1,228,2
16,23,43,46,12,13,9,19,1,228,0
21,8,7,74,0,3,0,27,2,114,1
46,57,7,40,5,48,1,13,2,165,2
20,16,45,120,173,40,4,20,1,242,2
2,89,6,61,51,34,13,3,2,126,2
36,14,155,10,139,15,10,9,1,294,2
10,38,21,22,22,46,29,47,6,48,2
40,23,139,59,96,60,17,42,5,45,2
49,53,144,9,155,27,8,60,1,170,2
47,25,124,9,58,37,27,57,1,37,1
35,0,45,52,163,10,10,56,2,64,2
42,57,51,104,84,11,21,42,2,111,2
20,45,90,67,177,3,0,33,1,10,0
47,54,67,49,152,27,11,54,1,263,2
55,65,173,2,40,38,9,9,1,278,2
19,69,29,67,180,47,7,59,1,225,2
37,90,168,52,180,32,6,20,1,187,2
21,1,142,99,0,40,3,54,1,278,2
42,67,67,29,100,3,22,38,1,225,2
41,71,5,65,117,5,22,35,2,82,2
32,18,66,55,140,59,16,18,2,91,2
60,6,120,35,159,8,26,26,4,28,1
60,46,156,77,41,16,11,42,1,246,2
51,60,104,74,120,7,13,47,3,89,2
7,0,93,96,27,11,24,37,1,167,2
38,88,86,59,164,54,1,25,1,295,2
46,82,77,81,139,6,16,52,2,159,2
22,12,76,48,16,15,1,10,1,201,1
7,19,180,0,104,37,24,14,1,196,2
26,55,67,79,0,19,17,57,5,56,2
37,44,21,88,24,27,9,3,1,163,2
29,31,180,64,12,33,15,31,3,61,2
59,67,69,100,131,60,8,51,3,93,2
4,52,152,36,81,12,26,0,1,255,2
30,0,125,98,65,60,2,29,1,292,2
15,61,71,0,164,1,6,18,2,164,2
13,83,168,64,75,55,7,50,1,283,2
60,61,162,105,21,48,4,37,1,201,2
20,76,22,96,74,28,11,9,1,179,2
14,79,6,120,3,58,5,9,1,223,2
1,40,45,29,123,6,0,44,5,47,2
1,40,62,35,132,33,16,18,2,169,2
24,25,154,69,91,58,2,17,36,8,2
59,88,10,119,48,5,21,5,1,291,2
48,51,158,119,79,19,0,13,1,199,2
50,62,123,115,155,46,6,0,1,282,2
38,41,123,59,160,23,21,18,1,260,2
35,36,78,114,124,15,28,0,7,20,2
32,17,20,100,99,23,18,5,1,128,2
43,7,119,41,134,20,18,44,1,221,2
31,0,59,0,170,54,5,44,2,128,2
45,84,15,96,155,42,10,29,4,33,2
5,27,84,109,39,38,13,40,17,16,2
59,27,132,81,172,6,28,13,39,4,2
58,63,174,0,87,9,29,59,1,295,2
0,86,32,43,126,40,21,52,1,270,2
53,15,97,116,78,49,8,0,1,209,2
3,88,144,5,141,30,5,15,8,24,2
14,58,97,78,57,19,1,2,1,182,2
34,7,8,107,180,35,0,53,3,79,2
42,32,169,20,58,41,19,25,2,177,2
26,38,63,101,160,16,23,26,1,157,2
39,82,69,15,48,43,27,15,1,244,2
55,17,107,118,23,10,11,43,1,267,2
53,41,43,80,20,29,26,3,4,53,2
16,42,166,109,52,20,16,59,1,205,2
56,63,73,61,162,25,21,37,1,153,2
30,79,7,117,29,29,11,16,1,272,2
41,40,86,113,96,31,13,22,68,2,2
53,27,91,67,139,60,21,38,1,207,2
1,17,28,19,89,9,25,48,1,190,2
34,55,132,111,180,54,26,41,2,61,2
58,2,0,50,28,39,15,24,1,238,2
55,70,16,43,163,43,2,55,1,209,2
53,55,140,120,104,51,28,56,1,151,2
14,23,53,15,167,29,22,21,6,4,0
59,25,0,44,146,13,1,35,1,227,2
11,6,61,79,177,0,17,48,2,103,2
45,6,74,61,178,31,0,32,1,50,1
0,28,156,73,70,1,3,49,1,144,2
53,19,180,102,48,28,11,54,2,149,2
60,21,140,61,124,37,0,7,1,171,2
33,74,107,60,120,57,5,38,1,191,2
43,25,62,41,147,28,26,42,1,124,2
7,66,29,104,72,21,19,53,1,148,2
40,62,70,28,112,0,11,43,176,1,2
19,89,91,118,137,6,12,35,1,150,2
43,0,145,6,146,35,28,51,2,102,2
53,85,173,7,7,26,9,5,2,76,2
43,82,160,90,150,52,2,11,1,84,1
45,84,91,75,12,23,12,36,2,146,2
47,46,112,101,0,39,13,32,3,109,2
22,69,27,14,90,12,19,26,1,287,2
6,85,121,100,162,19,10,30,2,123,2
49,4,151,96,73,29,6,12,3,44,2
27,10,178,40,143,9,1,53,1,186,2
57,21,60,40,157,29,4,47,3,47,2
41,72,21,69,113,44,12,7,2,129,2
27,12,149,81,78,33,0,23,1,140,2
57,60,165,70,80,0,13,41,1,276,2
49,64,136,66,113,4,14,48,1,221,2
27,41,43,86,118,58,10,40,7,41,2
23,67,42,49,118,22,3,60,2,63,2
41,13,31,65,152,60,16,29,4,50,2
20,85,20,59,136,59,11,56,1,172,2
29,30,17,111,23,48,11,23,47,6,2
26,50,147,36,31,42,7,6,1,225,2
43,0,54,13,0,50,30,53,2,61,2
22,24,173,63,152,7,28,48,2,107,2
34,60,144,18,58,42,2,47,5,55,2
6,19,11,103,141,50,9,35,2,60,1
42,90,121,115,97,54,29,7,1,155,2
59,49,9,93,79,23,8,22,1,238,2
59,32,65,10,68,51,2,53,1,121,2
29,9,0,78,85,37,17,50,3,51,2
45,60,0,109,126,2,4,42,1,176,2
54,85,86,77,180,46,19,58,2,102,2
60,57,171,43,60,44,27,12,3,109,2
48,90,104,4,177,19,2,55,11,13,2
59,60,4,55,57,48,25,53,1,167,2
29,19,85,64,75,27,10,53,2,129,2
49,71,121,16,170,60,14,40,1,265,2
36,17,38,13,166,46,11,41,1,204,2
31,75,68,68,55,18,5,36,1,298,2
42,38,39,15,81,3,4,2,1,249,2
54,24,59,24,144,18,3,20,2,90,2
50,62,21,16,128,28,29,28,1,152,2
52,61,64,32,64,52,8,0,1,198,2
30,58,118,30,177,23,0,18,1,153,2
37,20,74,79,29,17,30,31,2,97,2
40,89,85,0,67,30,27,11,1,211,2
58,77,29,10,79,29,19,55,19,10,2
0,73,106,68,75,3,25,33,1,219,2
21,38,0,107,43,4,20,15,3,66,2
49,0,154,63,11,55,16,8,1,271,2
36,90,163,29,146,55,23,60,4,73,2
52,52,147,113,59,18,12,2,1,179,2
2,1,7,28,94,37,14,28,4,31,2
44,9,84,113,72,8,4,52,2,81,2
40,32,104,120,137,56,7,55,1,171,2
24,74,33,74,164,21,11,18,1,246,2
1,48,150,43,45,23,7,44,1,284,2
38,40,139,107,178,0,11,0,1,249,2
9,45,156,31,60,56,16,44,1,127,2
54,73,26,120,116,27,26,52,2,157,2
35,25,143,109,123,17,28,53,49,5,2
34,3,16,110,97,35,19,60,4,35,2
51,81,31,26,99,20,16,3,1,93,1
7,30,23,61,128,16,11,48,2,144,2
22,43,116,80,176,27,15,51,1,275,2
9,39,60,81,53,39,29,52,1,250,2
15,32,43,0,140,60,4,55,3,59,2
27,17,103,46,173,53,15,15,1,212,2
33,19,75,25,70,2,7,49,1,250,2
53,72,38,76,163,5,22,43,1,165,2
15,0,161,10,64,42,18,45,2,116,2
37,15,1,81,119,48,5,46,3,58,2
46,39,108,96,174,22,24,5,2,102,2
34,9,141,13,131,21,28,52,1,230,2
57,90,23,93,169,20,11,26,2,124,2
3,10,13,96,117,34,23,45,3,117,2
38,57,155,59,108,37,0,49,5,49,2
27,0,87,85,4,44,6,27,1,273,2
20,70,27,25,167,6,2,24,2,122,2
15,66,114,50,48,47,3,0,5,20,1
38,32,140,76,26,0,10,34,1,209,2
49,9,133,59,115,51,10,28,1,258,2
38,47,63,12,73,16,6,56,1,221,2
37,52,115,68,110,13,12,16,1,250,2
36,25,6,22,121,38,19,56,1,251,2
56,89,0,118,16,3,11,12,2,149,2
52,54,124,120,27,4,19,0,2,109,2
29,66,162,118,115,19,5,27,1,299,2
27,49,53,78,179,25,14,42,40,2,1
10,22,47,20,148,20,0,53,1,195,2
21,17,133,95,71,56,7,25,3,48,2
12,52,134,114,67,55,1,40,3,45,2
34,61,150,22,19,49,26,19,2,86,2
12,14,180,48,49,27,10,14,1,191,2
30,88,124,56,138,56,27,0,4,73,2
26,28,175,33,5,37,23,44,4,46,2
45,1,81,47,150,29,9,1,1,169,2
1,23,129,90,157,13,4,57,1,234,2
42,87,75,78,121,60,10,27,1,154,2
2,46,128,52,97,40,11,53,1,285,2
37,16,3,1,106,39,16,24,1,267,2
4,90,2,20,95,40,17,33,1,235,2
39,71,87,70,39,37,5,47,1,257,2
38,82,43,66,82,59,21,52,1,192,2
32,72,73,46,157,18,16,14,1,230,2
10,4,1,67,105,54,7,44,2,191,2
7,85,16,59,127,56,28,59,1,284,2
0,21,28,29,29,34,21,31,1,270,2
3,84,2,83,122,7,16,17,1,188,2
51,90,150,95,102,5,11,51,4,67,2
27,61,172,33,55,55,5,11,2,19,1
33,34,161,88,105,42,0,38,3,87,2
3,71,31,32,45,27,5,47,2,164,2
7,44,180,86,88,44,2,52,1,140,2
25,39,7,4,136,1,25,46,2,139,2
58,82,53,21,60,47,12,27,3,59,2
23,71,63,53,105,41,6,41,1,263,2
3,21,34,46,96,49,13,4,1,226,2
40,82,119,76,114,17,14,49,1,151,2
22,41,153,51,11,36,23,10,3,106,2
0,89,76,54,121,28,1,24,3,6,0
56,0,83,112,96,38,24,58,2,87,2
31,62,2,71,125,19,14,59,3,73,2
53,67,142,56,180,57,26,32,1,213,2
16,36,177,34,171,40,15,8,3,52,2
11,14,62,82,144,3,12,46,3,18,0
43,10,47,76,138,32,25,6,2,136,2
11,67,120,107,14,5,19,60,1,212,2
43,42,47,70,111,4,1,30,1,276,2
49,82,75,5,97,36,17,50,1,55,1
15,0,54,62,28,60,2,51,10,26,2
37,64,180,69,124,46,12,6,2,127,2
48,76,156,60,65,36,7,46,1,279,2
28,39,135,57,14,45,13,1,2,186,2
18,83,4,22,81,34,22,16,15,3,1
27,47,125,51,44,48,16,13,12,25,2
35,90,163,100,30,26,15,28,1,171,2
50,87,151,41,53,55,22,55,1,222,2
22,12,25,49,35,10,22,48,1,266,2
4,22,21,83,128,0,5,30,2,157,1
28,20,71,26,20,17,9,26,1,258,1
46,82,140,16,146,10,25,8,1,253,2
35,60,175,79,163,54,15,37,1,177,2
52,60,59,57,178,16,16,46,3,59,2
49,90,89,78,144,39,18,31,1,157,2
21,11,51,71,23,48,29,16,6,10,0
52,89,48,20,30,44,3,46,1,201,2
13,41,112,120,35,20,9,56,1,272,2
18,29,106,62,94,51,0,48,32,5,2
55,30,174,14,152,59,0,28,144,2,2
36,8,42,71,116,14,3,16,1,280,2
57,0,127,18,83,60,3,29,2,69,2
49,3,162,27,110,7,30,36,2,172,2
56,81,93,105,95,14,6,36,1,244,2
5,46,60,50,40,58,18,48,2,102,2
4,16,93,41,146,33,0,10,2,128,2
24,60,153,12,122,55,30,46,2,25,1
9,18,180,120,156,32,26,42,1,168,2
12,1,131,48,0,27,22,3,1,278,2
52,45,108,107,157,21,12,22,1,273,2
43,70,59,73,20,5,19,24,3,34,1
4,29,100,89,120,2,15,43,2,79,2
60,55,178,56,62,16,14,19,1,274,2
43,44,165,37,162,36,22,1,1,74,1
20,68,20,16,81,51,3,17,12,16,2
22,24,156,83,62,54,18,59,9,34,2
17,45,29,76,0,30,7,60,25,7,2
14,34,177,64,100,60,11,0,6,39,2
55,26,124,69,113,23,1,13,1,296,2
2,10,111,102,36,6,28,57,1,235,2
58,10,135,47,173,9,24,39,2,82,2
14,0,109,73,123,40,8,41,5,63,2
58,58,84,66,107,44,9,18,8,27,2
54,7,48,11,140,31,23,26,1,276,2
18,30,176,100,58,28,5,0,1,292,2
26,10,138,17,23,35,19,24,5,25,2
39,4,67,67,106,49,24,41,34,3,1
1,78,164,35,18,11,5,32,1,111,1
43,54,144,50,166,15,10,46,2,31,1
38,28,114,66,4,28,3,55,2,127,2
42,75,20,118,71,19,11,58,3,40,1
47,1,25,11,35,58,25,56,1,272,2
33,51,127,32,133,53,3,49,1,181,2
35,86,8,65,110,9,4,23,2,128,2
58,27,103,103,167,41,3,17,1,151,2
0,66,65,68,128,13,2,31,4,40,2
2,68,128,4,48,42,0,11,1,182,2
42,7,103,14,119,24,22,22,9,19,2
54,76,100,109,123,29,2,49,1,249,2
54,13,23,29,11,42,12,49,1,49,1
22,24,37,31,1,15,22,24,1,274,2
52,38,137,79,32,2,29,24,2,160,2
0,84,69,93,67,43,14,37,1,241,2
33,2,69,3,64,6,7,31,1,80,0
6,51,134,83,57,3,1,18,1,147,2
15,90,43,15,124,20,22,25,1,238,2
58,7,146,37,162,44,6,23,2,114,2
47,32,12,10,99,43,0,16,9,30,2
39,17,111,0,122,26,4,20,1,257,2
26,26,131,34,165,31,13,28,1,225,2
21,86,126,93,25,19,2,4,1,246,2
48,75,147,113,6,50,17,43,3,114,2
24,36,104,1,110,24,9,1,1,208,2
2,41,31,41,168,36,28,52,2,85,2
7,51,85,64,178,37,6,20,1,286,2
1,79,179,3,122,41,25,16,1,163,2
33,56,126,120,77,24,8,16,2,49,1
33,3,61,94,35,37,26,18,4,32,2
28,89,0,75,156,1,10,27,2,75,2
32,89,123,13,31,3,2,26,1,261,2
1,54,102,41,154,24,6,25,1,191,2
44,53,52,102,109,40,11,57,1,146,2
40,50,87,53,1,18,6,23,1,271,2
29,63,151,45,109,58,10,42,1,142,2
30,51,29,33,132,8,28,9,3,86,2
49,84,166,43,46,31,11,4,5,57,2
33,48,157,43,80,38,19,58,1,284,2
44,45,103,41,149,33,29,55,3,76,2
22,86,22,36,0,41,4,35,2,102,2
12,88,99,110,5,46,22,51,3,32,1
8,16,172,37,63,50,7,43,1,253,2
0,37,133,37,170,11,19,27,1,235,2
24,1,61,59,159,31,24,37,1,38,1
3,45,123,77,179,43,12,32,1,200,2
24,8,67,68,72,25,16,0,1,105,0
0,24,129,91,178,10,29,5,1,278,2
23,64,80,2,89,43,22,41,1,69,1
39,37,148,89,127,6,28,47,18,9,2
9,73,149,54,69,48,3,33,2,163,2
60,35,47,78,75,16,25,55,3,65,2
56,90,179,113,84,28,23,8,1,126,2
51,71,71,94,93,44,27,36,1,273,2
8,83,23,32,63,9,9,15,19,13,2
52,59,96,7,165,7,17,5,2,155,2
49,20,48,83,167,50,0,35,3,110,2
26,41,139,107,40,14,17,25,2,145,2
47,26,39,93,0,42,28,41,1,203,2
55,87,180,46,76,32,6,5,2,172,2
1,13,164,67,109,57,10,20,1,234,2
56,16,74,55,144,36,0,37,1,120,1
21,67,38,38,171,35,21,40,4,34,2
23,6,24,84,53,25,28,14,26,6,2
45,72,11,101,154,0,29,43,1,297,2
21,65,1,0,87,37,25,42,2,82,2
35,51,0,43,125,44,28,58,1,299,2
22,90,30,79,27,31,9,41,1,254,2
40,15,101,40,82,34,10,5,1,180,2
4,13,37,54,110,9,5,40,1,170,2
0,13,4,93,91,5,9,59,3,63,2
30,14,0,43,35,15,20,51,1,132,2
48,69,160,27,98,58,6,39,1,206,2
35,59,0,31,39,55,7,13,1,195,2
55,17,7,43,66,15,25,37,1,23,1
34,66,46,100,173,26,13,45,1,201,2
18,90,100,53,168,16,4,57,1,63,1
23,50,121,73,58,27,7,34,1,247,2
21,16,72,36,67,14,22,22,1,250,2
0,24,125,75,106,33,10,12,1,226,2
43,6,24,89,35,14,12,35,1,292,2
22,62,87,49,114,23,1,52,1,161,2
35,15,169,49,160,34,14,10,1,78,1
13,1,39,46,106,32,17,56,5,49,2
40,8,160,5,36,16,24,1,2,145,2
48,23,94,117,57,54,3,52,1,180,2
60,86,147,83,134,12,20,59,2,132,2
24,63,116,0,145,7,12,39,1,181,2
51,18,56,6,98,55,16,24,1,205,2
39,90,69,40,102,47,18,8,1,162,2
38,61,11,120,115,38,1,45,2,131,2
32,29,123,48,31,28,17,58,1,255,2
20,49,78,13,43,53,29,4,6,38,2
26,33,65,35,115,48,13,1,1,239,2
28,25,67,92,156,7,28,55,1,166,2
11,50,103,87,11,58,10,24,19,14,2
14,83,95,16,134,2,16,6,1,295,2
52,74,94,109,71,13,24,42,1,278,2
8,26,88,36,63,43,10,31,2,115,2
0,2,180,4,128,51,0,20,1,169,2
35,45,167,53,39,44,21,57,2,57,2
30,0,69,29,44,33,15,0,3,101,2
1,27,26,33,147,38,18,3,2,75,2
38,83,157,115,18,21,8,40,3,19,1
16,69,141,53,112,51,26,33,3,46,2
6,73,49,0,137,49,10,24,1,300,2
7,0,26,90,125,48,5,8,5,36,2
22,36,179,61,161,22,0,38,2,70,2
16,33,156,0,144,13,2,24,1,224,2
34,38,12,22,55,16,26,30,1,53,1
46,80,22,74,121,57,24,56,1,164,2
6,11,35,74,125,26,26,47,2,161,2
16,79,150,35,179,33,15,42,3,65,2
54,65,55,106,166,26,24,56,1,183,2
2,55,19,25,102,1,7,34,4,69,2
12,79,114,115,59,34,19,8,1,265,2
46,57,40,58,39,20,2,30,1,224,2
41,56,61,39,177,3,30,22,1,208,2
49,80,40,73,39,37,27,37,1,252,2
53,50,110,1,57,53,21,60,1,202,2
20,16,14,1,159,17,11,18,1,183,1
7,90,163,66,64,37,25,17,1,100,1
9,43,143,117,150,28,13,0,1,256,2
40,17,100,100,172,38,26,15,1,208,2
20,5,99,86,62,3,13,29,2,166,1
60,28,179,118,158,34,12,5,15,19,2
7,62,128,70,21,46,5,45,1,178,2
58,49,125,120,129,54,12,54,1,279,2
45,37,66,75,34,44,26,51,2,87,2
9,8,96,66,55,30,15,48,2,87,2
49,89,180,92,30,48,29,11,3,36,1
2,0,101,53,0,0,18,49,1,207,2
14,1,2,76,15,49,5,50,2,73,2
10,48,99,48,158,9,5,56,2,74,2
54,2,41,83,56,13,10,29,2,63,2
20,45,167,20,71,18,1,30,1,214,2
16,22,0,28,126,44,4,47,1,94,1
55,33,60,33,26,40,20,7,1,287,2
46,90,117,65,93,35,28,60,1,192,2
6,4,166,9,171,34,12,45,1,290,2
47,55,153,15,37,24,9,8,8,23,2
34,4,154,93,121,42,18,40,3,99,2
6,21,118,103,115,36,10,38,1,167,2
20,62,0,30,133,42,18,0,1,176,2
55,36,19,109,57,27,22,11,1,79,1
53,62,23,116,83,16,5,15,1,218,2
15,0,24,44,76,37,18,53,2,129,2
32,57,106,33,91,13,24,37,1,224,2
30,35,163,95,155,10,4,18,1,159,2
29,41,158,46,78,27,23,3,4,76,2
26,77,136,42,16,10,0,39,2,162,2
41,90,157,92,21,60,23,36,3,70,2
59,43,84,78,35,15,20,46,2,166,2
28,64,130,79,91,5,12,48,1,206,2
26,19,118,0,120,36,9,59,2,18,1
0,77,25,88,85,51,26,45,2,100,2
54,59,57,45,124,40,29,6,2,50,1
60,29,136,97,18,14,0,12,3,79,2
23,60,83,67,0,7,8,45,94,2,2
17,0,165,86,117,56,1,30,1,218,2
44,55,102,60,160,5,6,7,6,39,2
31,1,152,65,19,26,22,57,1,169,2
7,90,136,1,169,49,14,53,6,45,2
31,80,45,88,26,7,13,28,39,7,2
53,71,14,44,155,43,24,34,32,6,2
59,0,178,78,62,50,28,28,1,276,2
48,80,50,69,33,53,6,1,1,277,2
0,70,4,71,73,22,4,0,2,143,2
60,0,44,50,108,41,22,15,6,49,2
25,80,42,63,36,10,19,23,3,113,2
47,46,38,3,16,0,17,47,10,26,2
44,68,109,2,55,10,11,0,1,223,2
39,24,108,66,0,11,20,19,2,132,2
23,63,12,70,105,9,20,0,2,110,2
40,65,114,19,63,1,17,41,1,137,2
51,90,71,44,160,11,5,28,1,113,1
55,55,8,18,113,39,25,32,20,4,1
3,88,19,86,180,57,7,59,2,120,2
0,35,62,14,51,12,4,14,2,57,0
60,17,61,98,71,26,2,6,1,290,2
39,52,29,55,157,51,23,16,1,73,1
53,3,149,8,82,14,25,17,2,35,1
48,16,71,115,66,22,23,31,1,161,2
16,37,60,87,107,24,9,29,1,286,1
5,5,26,11,81,9,9,50,1,215,2
36,29,10,103,67,8,11,26,1,204,2
49,79,81,37,31,20,0,29,2,29,1
16,39,3,67,82,8,26,17,1,252,2
19,33,129,119,26,49,24,14,3,105,2
15,23,124,72,70,34,22,38,1,227,2
23,22,85,85,121,37,20,6,1,196,2
30,51,34,106,117,23,14,51,3,81,2
27,1,40,89,65,14,28,48,2,36,1
34,39,68,77,145,20,25,14,1,212,2
23,19,6,109,180,43,29,51,1,123,2
31,90,55,75,107,19,3,37,1,172,2
20,55,13,99,33,4,19,58,1,18,1
48,33,21,89,126,51,1,23,1,214,2
34,61,8,87,0,49,23,38,1,170,2
51,68,132,0,156,48,16,39,1,199,2
46,60,55,61,83,56,6,60,1,297,2
1,60,89,76,50,29,5,9,2,27,0
52,21,49,47,49,1,1,50,1,113,1
26,16,13,65,92,0,26,27,4,70,2
34,82,111,41,0,59,29,0,6,35,2
4,24,178,8,108,43,14,60,2,114,2
24,82,160,33,73,47,2,53,1,221,2
3,40,124,106,7,26,7,12,1,18,0
24,80,36,96,180,6,1,52,1,196,2
14,51,71,0,80,31,16,32,1,223,2
24,68,130,52,0,4,14,35,1,177,2
36,23,8,76,81,49,26,15,1,177,2
29,27,0,17,99,36,28,19,1,256,2
16,1,121,18,22,17,25,58,2,55,1
13,23,5,17,124,60,10,60,1,261,2
0,11,116,29,8,47,8,18,1,202,2
52,38,73,97,102,46,7,30,1,205,2
50,64,52,67,56,17,13,54,2,79,2
13,84,154,44,145,10,1,0,1,243,2
31,66,162,113,31,25,15,52,1,182,2
13,7,161,117,121,31,6,27,3,93,2
1,31,48,100,156,47,7,51,2,126,2
53,76,95,3,56,36,13,57,2,146,2
55,54,10,45,17,13,29,26,1,163,2
51,30,133,37,180,0,23,29,2,179,2
41,49,54,104,71,4,17,59,1,122,2
22,89,19,117,176,20,24,45,2,106,2
14,44,91,73,69,38,9,33,1,205,2
18,6,13,7,23,52,25,8,1,41,0
12,21,54,109,117,13,23,5,5,28,2
10,0,50,18,106,46,0,32,1,147,2
0,44,129,5,0,47,11,18,1,223,2
6,60,0,118,35,26,26,55,1,221,2
33,8,27,76,180,35,7,19,4,41,2
56,4,18,7,19,7,17,44,1,234,2
45,36,10,46,107,8,24,1,1,205,2
18,81,109,120,23,44,7,43,1,255,2
26,79,115,24,2,35,25,20,1,144,2
29,61,26,103,52,14,0,60,1,167,2
15,3,101,87,38,38,10,47,1,255,2
4,52,14,21,148,43,10,7,2,92,2
45,5,131,41,112,55,1,1,5,46,2
60,72,125,0,25,22,13,54,1,256,2
34,48,76,93,166,59,24,6,1,300,2
52,28,121,109,17,30,7,55,2,135,2
21,73,69,0,103,18,15,38,1,238,2
28,79,75,46,115,60,1,0,1,295,2
40,63,40,7,53,35,5,59,1,264,2
47,7,21,0,5,13,30,9,1,254,2
18,27,135,36,69,40,25,38,2,164,2
60,78,156,34,87,10,5,51,1,166,2
44,34,83,53,175,60,11,8,2,137,2
28,74,20,0,123,5,17,56,2,158,2
60,45,180,119,44,30,22,14,1,277,2
33,86,172,96,33,19,10,49,1,208,2
60,10,172,20,141,54,22,0,1,215,2
59,0,180,82,62,57,28,35,3,110,2
18,36,8,22,178,33,23,22,2,64,2
0,34,132,66,159,27,6,19,2,166,2
7,3,46,40,16,12,22,20,2,82,2
0,50,95,6,50,0,21,27,1,256,2
18,0,97,67,122,1,16,30,2,18,0
30,86,180,116,23,31,22,47,2,116,2
30,78,103,108,169,18,15,42,1,253,2
47,7,14,1,24,18,7,55,1,232,2
59,11,172,36,47,35,3,4,1,269,2
55,33,50,19,28,34,1,7,1,272,2
31,42,117,5,78,49,16,0,12,17,2
58,36,99,13,22,23,19,53,1,295,2
39,7,92,58,2,1,14,9,1,166,2
41,89,18,32,158,50,12,23,3,71,2
32,15,154,48,180,35,23,56,1,97,1
35,29,76,111,23,60,9,33,2,72,2
13,70,101,39,127,0,10,34,5,50,2
53,55,149,73,94,22,16,41,5,50,2
25,44,117,75,163,38,17,24,1,257,2
0,72,36,4,145,53,9,20,1,233,2
35,46,150,64,160,45,9,13,1,188,2
34,87,89,48,163,0,5,25,1,282,2
23,80,114,60,99,37,20,31,2,171,2
55,16,90,73,150,40,5,15,1,268,2
0,9,31,48,78,33,12,35,1,289,2
43,19,81,44,111,49,3,56,1,259,2
33,68,17,94,29,0,27,38,1,89,1
43,75,132,66,94,46,2,4,2,106,2
15,30,94,45,103,39,16,48,1,270,2
53,40,149,22,156,4,14,42,1,267,2
7,42,132,96,42,27,10,24,1,253,2
16,50,91,54,0,52,24,7,5,24,1
44,64,137,98,41,6,2,12,17,13,2
39,90,180,34,28,54,18,14,1,110,1
32,44,11,55,60,29,23,53,1,183,2
30,0,180,6,125,0,3,29,1,288,2
22,67,10,84,0,41,16,16,1,290,2
47,46,169,63,113,9,27,27,2,137,2
0,5,174,91,160,50,9,58,1,209,2
59,62,177,120,74,24,15,19,3,49,2
14,87,41,22,19,34,26,23,11,10,1
8,64,88,102,95,2,27,33,2,85,2
44,85,159,45,140,9,4,41,1,227,2
7,31,123,69,0,56,10,39,1,247,2
9,55,17,93,20,41,6,44,2,54,1
4,25,125,1,166,50,12,14,1,82,1
7,8,78,100,113,46,30,6,2,167,2
31,55,168,26,124,60,0,42,1,165,2
8,65,95,99,147,16,12,32,6,28,2
0,67,21,93,126,20,4,35,4,57,2
49,25,166,3,31,46,0,28,1,171,2
12,77,107,59,152,5,6,47,3,78,2
47,61,114,72,20,60,19,52,1,206,2
4,0,131,93,114,24,30,9,1,160,2
60,1,93,51,99,35,16,46,2,105,2
37,69,37,67,64,26,14,45,3,89,2
42,44,124,96,147,7,18,34,1,295,2
27,81,145,45,176,26,28,13,1,241,2
52,74,33,72,159,55,7,44,1,187,2
42,56,106,77,79,24,29,51,5,48,2
5,69,61,80,177,7,14,32,1,183,2
